ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber,truth3,pred3,pred6
0.1532931091194445,0.0089984632312565,-21.85499906539917,4,-21.0,39.0,0.5416666666666666,1,0.368,0.451,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1920835540118484,0.0111745329222466,-21.10999870300293,4,51.0,75.0,2.083333333333333,0,0.316,0.377,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2926350213173547,0.0095854206997513,-20.237500190734863,3,51.0,75.0,1.25,0,0.25,0.443,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2611287590041197,0.0121117052827508,-18.56249952316284,4,51.0,75.0,1.25,0,0.276,0.391,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2038260429544565,0.0135490229770984,-19.867498874664307,4,51.0,75.0,1.25,0,0.408,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2485242613913423,0.0099150764800443,-19.00999927520752,3,51.0,75.0,2.083333333333333,0,0.262,0.382,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0685703941695416,0.0105669227329618,-20.50999927520752,4,63.0,75.0,2.083333333333333,0,0.256,0.227,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2468072800206794,0.0101720965715886,-19.91499900817871,3,51.0,75.0,2.083333333333333,0,0.253,0.341,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2659386822408801,0.0078390219984738,-19.45249938964844,1,27.0,27.0,2.25,0,0.111,0.298,12.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1677662479299833,0.011167575844145,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.427,0.489,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1350234276359213,0.006512140904345,-21.647499084472656,4,51.0,75.0,2.083333333333333,0,0.254,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.240164629891828,0.0076263292623703,-19.91499900817871,3,51.0,75.0,2.083333333333333,0,0.217,0.341,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1745261189333787,0.0083793985098046,-21.334999084472656,3,-21.0,3.0,0.0833333333333333,1,0.314,0.443,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.0843556699777191,0.0169820259979856,-20.06750011444092,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2488071495963322,0.010292645406514,-19.00999927520752,3,51.0,75.0,2.083333333333333,0,0.272,0.382,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2225822075127338,0.0115410462152694,-19.96750020980835,3,51.0,75.0,2.083333333333333,0,0.205,0.242,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.24833683581182,0.009665028425303,-19.00999927520752,3,51.0,75.0,2.083333333333333,0,0.256,0.382,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1712322117591785,0.0090237584135832,-21.334999084472656,3,-21.0,3.0,0.0833333333333333,1,0.339,0.461,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.5116452359019877,0.0049029127396321,-14.532499631245932,3,25.0,73.0,1.2166666666666666,0,0.389,0.455,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4625355501012215,0.0064867206765313,-14.44499945640564,4,25.0,73.0,1.2166666666666666,0,0.36,0.398,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4504180506237001,0.0059688003994983,-14.44499945640564,4,25.0,73.0,1.2166666666666666,0,0.344,0.388,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.5108616512379285,0.0054804242094581,-15.042500019073486,5,25.0,73.0,1.2166666666666666,0,0.431,0.532,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4912136301917449,0.005207030701901,-16.021666367848713,6,-11.0,13.0,0.3611111111111111,1,0.291,0.489,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,3
0.2765342962761576,0.0008294381279462,-13.513332764307656,2,49.0,73.0,2.0277777777777777,0,0.124,0.261,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,bare,2
0.4632795129339768,0.0044740910798666,-16.021666367848713,6,-11.0,13.0,0.3611111111111111,1,0.234,0.464,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,3
0.4831331560017285,0.0053611110186671,-14.53833270072937,6,-11.0,13.0,0.3611111111111111,1,0.306,0.474,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,3
0.4666475856404588,0.0048255135593723,-15.4458327293396,5,-11.0,13.0,0.2708333333333333,1,0.249,0.459,48.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,3
0.4771976665541467,0.004503031073938,-14.758333126703898,5,25.0,73.0,1.2166666666666666,0,0.44,0.484,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4106928220779767,0.0041822409163862,-13.38083267211914,4,25.0,49.0,1.3611111111111112,0,0.384,0.397,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,4
0.2767650279561707,0.0008402852501838,-13.513332764307656,2,49.0,73.0,2.0277777777777777,0,0.125,0.261,36.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,bare,2
0.4869451665134037,0.0037452136065676,-15.1316659450531,4,25.0,73.0,1.2166666666666666,0,0.438,0.461,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4905181833988209,0.0055014516782729,-14.758333126703898,5,25.0,73.0,1.2166666666666666,0,0.454,0.499,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4983203660024196,0.0044094891851398,-14.532499631245932,3,25.0,73.0,1.2166666666666666,0,0.373,0.443,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.521347802558113,0.0052621881059928,-14.532499631245932,4,25.0,73.0,1.2166666666666666,0,0.401,0.463,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4454254361636779,0.0032175262911273,-15.719165960947672,5,-23.0,13.0,0.1547619047619047,1,0.139,0.362,84.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4652962097132201,0.0037632289370131,-13.791665951410929,5,25.0,73.0,1.2166666666666666,0,0.411,0.479,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.463985951925135,0.0046991019441096,-14.53833270072937,5,25.0,73.0,1.2166666666666666,0,0.364,0.471,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4471215783396106,0.0048363733192493,-15.738332589467367,4,25.0,61.0,1.2708333333333333,0,0.252,0.439,48.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4597640580343947,0.0042578338777799,-13.422499259312948,2,25.0,73.0,1.2166666666666666,0,0.236,0.471,60.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.4488086134493806,0.0032846824957775,-15.719165960947672,5,-23.0,13.0,0.1547619047619047,1,0.14,0.359,84.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,generative,4
0.5028281311502112,0.0055817421122413,-14.358332713445028,4,-11.0,13.0,0.1547619047619047,1,0.299,0.481,84.0,18_Kiarasari,Indramayu,4,Drone (rice field),generative,vegetative,3
