ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber
0.4869451665134037,0.0037452136065676176,-15.1316659450531,4,25.0,73.0,1.2166666666666666,0,0.438,0.461,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4905181833988209,0.005501451678272993,-14.758333126703898,5,25.0,73.0,1.2166666666666666,0,0.454,0.499,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4983203660024196,0.004409489185139899,-14.532499631245932,3,25.0,73.0,1.2166666666666666,0,0.373,0.443,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.521347802558113,0.005262188105992893,-14.532499631245932,4,25.0,73.0,1.2166666666666666,0,0.401,0.463,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.44542543616367797,0.0032175262911273636,-15.719165960947672,5,-23.0,13.0,0.15476190476190477,1,0.139,0.362,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.46529620971322017,0.0037632289370131016,-13.791665951410929,5,25.0,73.0,1.2166666666666666,0,0.411,0.479,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.46398595192513503,0.00469910194410969,-14.53833270072937,5,25.0,73.0,1.2166666666666666,0,0.364,0.471,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.44712157833961064,0.004836373319249301,-15.738332589467367,4,25.0,61.0,1.2708333333333333,0,0.252,0.439,48.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4597640580343947,0.004257833877779986,-13.422499259312948,2,25.0,73.0,1.2166666666666666,0,0.236,0.471,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4488086134493806,0.0032846824957775272,-15.719165960947672,5,-23.0,13.0,0.15476190476190477,1,0.14,0.359,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5028281311502112,0.005581742112241332,-14.358332713445028,4,-11.0,13.0,0.15476190476190477,1,0.299,0.481,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.49835227108286934,0.005371651103978345,-14.358332713445028,4,-23.0,13.0,0.15476190476190477,1,0.21,0.397,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.44824674879475884,0.0034687476757718793,-14.917499939600626,4,25.0,73.0,1.2166666666666666,0,0.242,0.459,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5103153844607671,0.006143022249193751,-13.950832843780518,4,25.0,73.0,1.2166666666666666,0,0.463,0.54,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4948097088575122,0.005336978153226528,-13.868333260218302,3,25.0,61.0,1.2708333333333333,0,0.234,0.514,48.0,18 Kiarasari,Indramayu,4,Drone (rice field)
0.44519498296775706,0.0018220021124346574,-14.611666599909464,3,-59.0,73.0,0.5069444444444444,1,0.138,0.259,144.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5467557460566055,0.005110851101027237,-14.105832974116007,3,25.0,73.0,1.2166666666666666,0,0.139,0.545,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4954390630520707,0.003397064052020333,-14.931665897369385,5,25.0,73.0,1.2166666666666666,0,0.416,0.519,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5576082298780937,0.006189078395730023,-14.702499787012735,5,25.0,73.0,1.2166666666666666,0,0.453,0.592,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5305096024015851,0.006881125585559769,-14.358332713445028,4,25.0,73.0,1.2166666666666666,0,0.315,0.504,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5312701277946371,0.005010865785056054,-14.702499787012735,5,25.0,73.0,1.2166666666666666,0,0.431,0.556,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4709059002952588,0.0049383640350793775,-14.53833270072937,6,-11.0,13.0,0.3611111111111111,1,0.274,0.461,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.5049420807692497,0.00618841105703945,-15.4458327293396,5,-11.0,13.0,0.2708333333333333,1,0.335,0.501,48.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4833696195771162,0.004613661720562802,-14.049166599909464,4,25.0,61.0,1.2708333333333333,0,0.566,0.523,48.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.43421050049107435,0.0034100758897443787,-15.329166491826376,4,-23.0,13.0,0.15476190476190477,1,0.135,0.364,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.46273007312573466,0.00453722254426004,-14.81499981880188,4,25.0,73.0,1.2166666666666666,0,0.409,0.462,60.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.45423037033219815,0.004236660169974198,-16.021666367848713,6,-11.0,13.0,0.3611111111111111,1,0.215,0.456,36.0,18_Kiarasari,Indramayu,4,Drone (rice field)
0.4522877358269334,0.004256594785809645,-15.329166491826376,5,-11.0,13.0,0.15476190476190477,1,0.239,0.45,84.0,18_Kiarasari,Indramayu,4,Drone (rice field)
