point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
186,459025.5050659374,9242750.115730308,0.0,66.0,66.0,0.4749219,6.0,0.21395102,0.13048545,0.06843652,,0.004349515
187,462986.5038698831,9246227.200172417,126.0,348.0,222.0,0.3841853,174.0,0.09258102,0.25744158,2.0278063,0.004651644,0.0015651715
188,479073.8023213049,9238100.883046785,18.0,258.0,240.0,0.097656585,138.0,0.045542654,0.04911463,0.2547952,0.00036001875,0.00043428276
189,481112.01633900113,9235239.82996633,30.0,324.0,294.0,0.43086603,42.0,0.074344575,0.28111988,3.3132997,0.013345626,0.0012642605
190,461310.1839548229,9232254.138967218,30.0,0.0,276.0,0.47956955,348.0,0.3123115,0.094013095,0.0,0.00029873155,
191,478772.3097444077,9230782.5750828,30.0,270.0,240.0,0.3523917,42.0,0.00795198,0.22424884,1.3303027,0.004700484,0.0015107006
192,498105.13985283434,9242317.615048554,246.0,324.0,78.0,0.5362583,282.0,0.10014592,0.42001894,1.6977592,0.011484931,0.005738283
193,456192.61815735936,9253103.399062755,18.0,258.0,240.0,0.19856249,138.0,0.06478937,0.12616803,1.7962483,0.0005150983,0.00054035085
194,458699.530135873,9239642.11793869,90.0,348.0,258.0,0.45829412,126.0,0.1486074,0.2601288,2.4699528,0.0058491896,0.0013866078
195,457557.28361870826,9243786.95255223,294.0,0.0,12.0,0.4434514,360.0,0.30733457,0.06805843,0.0,0.0020623764,
196,458636.5361424684,9218129.43803502,30.0,138.0,108.0,0.54899365,42.0,0.26135045,0.24194363,0.9762517,0.013187073,0.0023260023
197,458224.2778140301,9232434.420470906,0.0,198.0,198.0,0.52211684,6.0,0.29459453,0.11376113,0.73749846,,0.0011380068
198,456434.96543643577,9219700.403301224,30.0,150.0,120.0,0.3835302,42.0,0.18470126,0.19124684,0.9216515,0.015305395,0.001635926
199,467144.1118203359,9216189.261934325,0.0,210.0,210.0,0.3285163,6.0,0.22193749,0.053289413,0.046626948,,0.00052244513
