point,n_seasons,x,y,mean_peak_NDVI,mean_LOS_days,mean_amplitude
148,2,477342.1611593179,9232957.369646138,0.4445,168.0,0.274
150,2,489236.15776297066,9234469.146194836,0.4255,114.0,0.3245
153,1,482894.2229504823,9231116.701917304,0.369,192.0,0.264
154,2,488340.85920576146,9234130.511992412,0.394,114.0,0.246
155,1,484499.1696930115,9240257.68390205,0.337,192.0,0.19
156,2,466097.3855191732,9221581.20311656,0.2645,90.0,0.188
158,3,470539.9343752588,9242352.143734273,0.39566666666666667,72.0,0.36566666666666664
161,3,462178.4147930357,9219875.579754865,0.37733333333333335,56.0,0.24233333333333332
162,1,462663.8255274992,9243575.17155643,0.397,156.0,0.325
164,2,461015.6439325918,9241397.512849728,0.372,114.0,0.2985
165,4,469401.5691923222,9244047.816453252,0.42875,72.0,0.29225
168,1,477805.0740016805,9235400.404628947,0.383,132.0,0.22
170,3,502959.8576019066,9246681.066087618,0.40599999999999997,116.0,0.2813333333333333
171,1,460152.4721362782,9242252.558624009,0.397,144.0,0.202
172,2,463000.2255201336,9225143.241869075,0.376,78.0,0.299
173,1,480207.28746414674,9231870.684368411,0.345,132.0,0.25
174,3,458912.8967071283,9249822.748268813,0.2893333333333334,108.0,0.3253333333333333
175,1,461916.2046416754,9252864.012248186,0.37,84.0,0.166
176,2,470783.236410018,9238157.300665405,0.3535,114.0,0.301
180,2,493964.25031187275,9237571.835175738,0.1785,84.0,0.2225
181,1,469100.24864441546,9246363.028682085,0.381,132.0,0.211
182,1,461151.6703577532,9247005.44388692,0.283,36.0,0.178
186,1,459025.5050659374,9242750.115730308,0.398,84.0,0.184
187,2,462986.5038698831,9246227.200172417,0.322,90.0,0.21
189,3,481112.01633900113,9235239.82996633,0.37133333333333335,52.0,0.25666666666666665
191,2,478772.3097444077,9230782.5750828,0.20350000000000001,84.0,0.195
192,5,498105.13985283434,9242317.615048554,0.4144,60.0,0.2944
194,1,458699.530135873,9239642.11793869,0.361,24.0,0.212
196,2,458636.5361424684,9218129.43803502,0.536,102.0,0.2645
197,1,458224.2778140301,9232434.420470906,0.522,72.0,0.199
198,2,456434.96543643577,9219700.403301224,0.3705,102.0,0.178
