point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
131,491634.45726396167,9238941.959373904,2,2025-01-30,2025-02-11,2025-03-31,30,42,90,0.334,-0.067,0.401,60,12
132,481528.65685500344,9239430.713180562,1,2024-11-19,2025-04-24,2025-05-18,324,114,138,0.239,0.072,0.167,180,156
134,469078.52323315386,9219541.988179743,1,2024-12-01,2025-03-07,2025-03-31,336,66,90,0.325,0.127,0.198,120,96
135,455665.40747756383,9244009.547145024,1,2024-11-07,2025-03-19,2025-03-31,312,78,90,0.156,-0.103,0.259,144,132
135,455665.40747756383,9244009.547145024,2,2025-03-31,2025-09-03,2025-09-15,90,246,258,0.219,0.038,0.322,168,156
136,460347.9805991686,9218119.16099384,1,2024-11-07,2025-02-11,2025-06-11,312,42,162,0.378,0.208,0.235,216,96
137,462350.16167290095,9222679.908964615,1,2024-11-07,2024-12-01,2024-12-13,312,336,348,0.535,0.221,0.46,36,24
137,462350.16167290095,9222679.908964615,2,2024-12-13,2025-01-30,2025-03-07,348,30,66,0.499,0.097,0.402,84,48
137,462350.16167290095,9222679.908964615,3,2025-03-07,2025-06-23,2025-07-29,66,174,210,0.311,0.1,0.213,144,108
139,460860.72994813573,9226777.44731183,1,2024-11-07,2025-03-07,2025-03-19,312,66,78,0.338,0.052,0.286,132,120
140,481993.580295346,9237723.14611185,1,2024-11-07,2024-12-01,2024-12-13,312,336,348,0.34,0.045,0.295,36,24
140,481993.580295346,9237723.14611185,2,2024-12-13,2025-04-12,2025-05-06,348,102,126,0.274,0.094,0.229,144,120
142,469701.97393890034,9247345.2359401,1,2024-11-07,2024-11-19,2024-12-01,312,324,336,0.288,0.023,0.265,24,12
142,469701.97393890034,9247345.2359401,2,2024-12-01,2025-03-19,2025-04-12,336,78,102,0.65,-0.025,0.675,132,108
142,469701.97393890034,9247345.2359401,3,2025-04-12,2025-07-05,2025-07-17,102,186,198,0.414,0.142,0.438,96,84
143,461562.8104482815,9251167.694043146,1,2024-11-07,2024-12-01,2024-12-13,312,336,348,0.303,0.121,0.183,36,24
143,461562.8104482815,9251167.694043146,2,2024-12-13,2025-01-06,2025-01-18,348,6,18,0.402,0.078,0.324,36,24
143,461562.8104482815,9251167.694043146,3,2025-01-18,2025-03-31,2025-05-30,18,90,150,0.351,0.108,0.273,132,72
145,460417.57402200194,9220874.681483109,1,2024-11-19,2024-12-25,2025-01-18,324,360,18,0.361,0.206,0.155,60,36
145,460417.57402200194,9220874.681483109,2,2025-01-18,2025-03-19,2025-05-06,18,78,126,0.475,0.255,0.268,108,60
147,474676.1857214124,9237165.285809558,1,2024-11-19,2025-02-11,2025-03-07,324,42,66,0.491,0.23,0.278,108,84
148,477342.1611593179,9232957.369646138,1,2024-11-07,2025-01-06,2025-03-07,312,6,66,0.448,0.198,0.271,120,60
148,477342.1611593179,9232957.369646138,2,2025-03-07,2025-05-18,2025-10-09,66,138,282,0.441,0.164,0.277,216,72
150,489236.15776297066,9234469.146194836,1,2025-01-06,2025-03-07,2025-05-30,6,66,150,0.433,0.109,0.324,144,60
150,489236.15776297066,9234469.146194836,2,2025-05-30,2025-07-29,2025-08-22,150,210,234,0.418,0.092,0.325,84,60
153,482894.2229504823,9231116.701917304,1,2024-11-19,2025-05-18,2025-05-30,324,138,150,0.369,0.21,0.264,192,180
154,488340.85920576146,9234130.511992412,1,2025-01-06,2025-05-06,2025-05-30,6,126,150,0.381,0.188,0.205,144,120
154,488340.85920576146,9234130.511992412,2,2025-05-30,2025-07-29,2025-08-22,150,210,234,0.407,0.12,0.287,84,60
155,484499.1696930115,9240257.68390205,1,2024-11-07,2025-03-31,2025-05-18,312,90,138,0.337,0.146,0.19,192,144
156,466097.3855191732,9221581.20311656,1,2024-11-07,2024-11-19,2024-12-13,312,324,348,0.319,0.1,0.219,36,12
156,466097.3855191732,9221581.20311656,2,2024-12-13,2025-04-24,2025-05-06,348,114,126,0.21,0.054,0.157,144,132
158,470539.9343752588,9242352.143734273,1,2024-11-07,2024-11-19,2024-12-01,312,324,336,0.331,0.096,0.337,24,12
158,470539.9343752588,9242352.143734273,2,2024-12-01,2025-03-19,2025-04-12,336,78,102,0.424,0.049,0.376,132,108
158,470539.9343752588,9242352.143734273,3,2025-04-12,2025-05-18,2025-06-11,102,138,162,0.432,0.242,0.384,60,36
161,462178.4147930357,9219875.579754865,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.365,0.138,0.228,12,0
161,462178.4147930357,9219875.579754865,2,2024-11-19,2024-12-01,2024-12-25,324,336,360,0.317,0.134,0.183,36,12
161,462178.4147930357,9219875.579754865,3,2024-12-25,2025-03-07,2025-04-24,360,66,114,0.45,0.177,0.316,120,72
162,462663.8255274992,9243575.17155643,1,2024-11-07,2025-03-19,2025-04-12,312,78,102,0.397,0.09,0.325,156,132
164,461015.6439325918,9241397.512849728,1,2024-11-07,2025-03-07,2025-03-19,312,66,78,0.314,0.081,0.248,132,120
164,461015.6439325918,9241397.512849728,2,2025-03-19,2025-05-18,2025-06-23,78,138,174,0.43,0.264,0.349,96,60
165,469401.5691923222,9244047.816453252,1,2024-11-07,2024-11-19,2024-12-13,312,324,348,0.396,0.105,0.291,36,12
165,469401.5691923222,9244047.816453252,2,2024-12-13,2025-02-11,2025-02-23,348,42,54,0.391,0.184,0.286,72,60
165,469401.5691923222,9244047.816453252,3,2025-02-23,2025-03-07,2025-04-12,54,66,102,0.376,0.168,0.208,48,12
165,469401.5691923222,9244047.816453252,4,2025-04-12,2025-07-17,2025-08-22,102,198,234,0.552,0.179,0.384,132,96
168,477805.0740016805,9235400.404628947,1,2024-11-07,2025-01-06,2025-03-19,312,6,78,0.383,0.178,0.22,132,60
170,502959.8576019066,9246681.066087618,1,2024-11-07,2025-02-11,2025-03-07,312,42,66,0.413,0.229,0.294,120,96
170,502959.8576019066,9246681.066087618,2,2025-03-07,2025-05-06,2025-05-18,66,126,138,0.51,0.183,0.326,72,60
170,502959.8576019066,9246681.066087618,3,2025-05-18,2025-09-03,2025-10-21,138,246,294,0.295,0.071,0.224,156,108
171,460152.4721362782,9242252.558624009,1,2024-11-07,2025-02-23,2025-03-31,312,54,90,0.397,0.195,0.202,144,108
172,463000.2255201336,9225143.241869075,1,2024-11-07,2024-11-07,2024-12-01,312,312,336,0.372,0.077,0.295,24,0
172,463000.2255201336,9225143.241869075,2,2024-12-01,2025-03-07,2025-04-12,336,66,102,0.38,0.175,0.303,132,96
173,480207.28746414674,9231870.684368411,1,2024-11-19,2025-03-19,2025-03-31,324,78,90,0.345,0.095,0.25,132,120
174,458912.8967071283,9249822.748268813,1,2024-12-01,2024-12-01,2024-12-13,336,336,348,0.197,-0.072,0.269,12,0
174,458912.8967071283,9249822.748268813,2,2024-12-13,2025-03-31,2025-05-18,348,90,138,0.33,0.099,0.402,156,108
