point,x,y,date,S2ndvi_fused,VV_fused,VH_fused
15,415808.23859854246,9133382.448484626,2026-05-29,0.3652361162190196,-8.443423875266644,-12.345813728226233
15,415808.23859854246,9133382.448484626,2026-06-10,0.3002669719237682,-7.308141355455559,-13.727675915230629
16,415752.9751366154,9133370.833984345,2025-09-07,0.3625792964214937,-8.581624758623285,-14.238551778019923
16,415752.9751366154,9133370.833984345,2025-09-19,0.3394740452071502,-8.663421634549012,-14.57960840598082
16,415752.9751366154,9133370.833984345,2025-10-01,0.3790119441449978,-9.62670364178545,-14.441614999379162
16,415752.9751366154,9133370.833984345,2025-10-13,0.37029333214175936,-8.558517316370143,-13.815138673987178
16,415752.9751366154,9133370.833984345,2025-10-25,0.32326576028121357,-7.298149634999524,-12.701864835276025
16,415752.9751366154,9133370.833984345,2025-11-06,0.35780096195253286,-8.185004401495476,-13.067268426644246
16,415752.9751366154,9133370.833984345,2025-11-18,0.34193939184713373,-7.182960152846421,-12.451088797152973
16,415752.9751366154,9133370.833984345,2025-11-30,0.2947976614774871,-6.59833472301509,-12.863971682767469
16,415752.9751366154,9133370.833984345,2025-12-12,0.34067315387341984,-8.180379886547787,-13.443968716281752
16,415752.9751366154,9133370.833984345,2025-12-24,0.37464056717861993,-10.558215022504942,-15.733424403241376
16,415752.9751366154,9133370.833984345,2026-01-05,0.30820563815692853,-9.851386046982213,-15.36760523866722
16,415752.9751366154,9133370.833984345,2026-01-17,0.3018473579478527,-8.852391210772476,-15.172809633007269
16,415752.9751366154,9133370.833984345,2026-01-29,0.30186087024691843,-8.09966450212761,-14.207546931842783
16,415752.9751366154,9133370.833984345,2026-02-10,0.38048770427494133,-9.510549606927459,-14.259742953683295
16,415752.9751366154,9133370.833984345,2026-02-22,0.38935145184536035,-10.116458653790607,-14.838477614758922
16,415752.9751366154,9133370.833984345,2026-03-06,0.3591840908519741,-9.108479517210029,-14.2202222934915
16,415752.9751366154,9133370.833984345,2026-03-18,0.41920832307605294,-10.753562685101059,-15.777103582026008
16,415752.9751366154,9133370.833984345,2026-03-30,0.277538180043446,-7.638579910559799,-13.583087882057413
16,415752.9751366154,9133370.833984345,2026-04-11,0.2767237189572541,-6.982520405422893,-12.488106645268735
16,415752.9751366154,9133370.833984345,2026-04-23,0.22606817205811797,-8.552354071085556,-15.321328033282436
16,415752.9751366154,9133370.833984345,2026-05-05,0.28861022327973007,-8.725126109171782,-15.176667946971415
16,415752.9751366154,9133370.833984345,2026-05-17,0.28733968249794156,-6.927257795024218,-13.839935763142842
16,415752.9751366154,9133370.833984345,2026-05-29,0.4028387775322538,-9.260025626409073,-13.959111728053307
16,415752.9751366154,9133370.833984345,2026-06-10,0.2787692886361136,-8.116964899822678,-14.745582381661231
17,415773.0947675342,9133406.736866722,2025-09-07,0.3662889763554561,-8.829826738635253,-14.311335492720431
17,415773.0947675342,9133406.736866722,2025-09-19,0.3315501699750971,-9.04078371586983,-14.907041539221439
17,415773.0947675342,9133406.736866722,2025-10-01,0.35054850615569544,-9.45201081675094,-14.123017615838688
17,415773.0947675342,9133406.736866722,2025-10-13,0.379886420172925,-9.000812593298232,-14.407593495134188
17,415773.0947675342,9133406.736866722,2025-10-25,0.34056781339023373,-8.511087138788689,-13.296971118864889
17,415773.0947675342,9133406.736866722,2025-11-06,0.3615369736867132,-8.532354789354278,-12.68663914979025
17,415773.0947675342,9133406.736866722,2025-11-18,0.31346563323359505,-7.078902078209831,-12.72346766261536
17,415773.0947675342,9133406.736866722,2025-11-30,0.2847009146665832,-7.381229490807645,-13.251554518859571
17,415773.0947675342,9133406.736866722,2025-12-12,0.29599763843990434,-7.914811574967025,-13.933198645167925
17,415773.0947675342,9133406.736866722,2025-12-24,0.3435373475936445,-9.741135646917511,-14.682436435285334
17,415773.0947675342,9133406.736866722,2026-01-05,0.2874305582378839,-9.490866347937635,-15.395283345637298
17,415773.0947675342,9133406.736866722,2026-01-17,0.32840669608642514,-9.54033186592671,-14.900365110712688
17,415773.0947675342,9133406.736866722,2026-01-29,0.3122067885351674,-9.40955348938952,-15.234715910606406
17,415773.0947675342,9133406.736866722,2026-02-10,0.32886644324371356,-9.369705806525591,-14.68174908370122
17,415773.0947675342,9133406.736866722,2026-02-22,0.3433406669769294,-9.505263682877866,-14.405459131673615
17,415773.0947675342,9133406.736866722,2026-03-06,0.33572933678353895,-9.398666252692879,-14.508386595479985
17,415773.0947675342,9133406.736866722,2026-03-18,0.40435973550407733,-10.402054488035185,-15.039399609984589
17,415773.0947675342,9133406.736866722,2026-03-30,0.28313452691316504,-8.87092721493005,-14.302040355066843
17,415773.0947675342,9133406.736866722,2026-04-11,0.2944416651171294,-8.150916090736345,-12.821564385901823
17,415773.0947675342,9133406.736866722,2026-04-23,0.2298176956909439,-8.888349200950188,-14.857236938791637
17,415773.0947675342,9133406.736866722,2026-05-05,0.2787743691168126,-9.544179670643889,-16.198408590329404
17,415773.0947675342,9133406.736866722,2026-05-17,0.31305212072014815,-7.78572786411371,-13.910714660397131
17,415773.0947675342,9133406.736866722,2026-05-29,0.3800032488021353,-7.961971234387369,-12.756288874830577
17,415773.0947675342,9133406.736866722,2026-06-10,0.3664414379253234,-10.384303491405513,-14.759435081369716
18,415786.0968833244,9133426.770096306,2025-09-07,0.36377664777960594,-9.225792514857549,-13.775804422335147
18,415786.0968833244,9133426.770096306,2025-09-19,0.30753947397458486,-9.001142170082494,-14.201031741045892
18,415786.0968833244,9133426.770096306,2025-10-01,0.33281466786228336,-8.667789473405433,-13.596651354725811
18,415786.0968833244,9133426.770096306,2025-10-13,0.369749519633602,-8.431544295464148,-13.437706203467446
18,415786.0968833244,9133426.770096306,2025-10-25,0.315050291323505,-8.173933815862062,-13.4195197479686
18,415786.0968833244,9133426.770096306,2025-11-06,0.3165684007026208,-7.308076693759248,-12.720189052275861
18,415786.0968833244,9133426.770096306,2025-11-18,0.28806951964203387,-6.720937693830164,-12.759784792881716
18,415786.0968833244,9133426.770096306,2025-11-30,0.24281296048303513,-6.257130811284176,-12.887389045588533
18,415786.0968833244,9133426.770096306,2025-12-12,0.3240424154021535,-8.635593299335492,-13.675729235137347
18,415786.0968833244,9133426.770096306,2025-12-24,0.27963956427418074,-8.720379416098236,-14.270935797125372
18,415786.0968833244,9133426.770096306,2026-01-05,0.2629752963905751,-9.421740783656853,-14.797469102767723
18,415786.0968833244,9133426.770096306,2026-01-17,0.2771999538430669,-8.600531313404215,-14.205675566414776
18,415786.0968833244,9133426.770096306,2026-01-29,0.3310158895323924,-10.129622614837341,-14.768240223705936
18,415786.0968833244,9133426.770096306,2026-02-10,0.34524737859317756,-9.54156779462648,-14.136167548212265
18,415786.0968833244,9133426.770096306,2026-02-22,0.38726524083950853,-9.814758480740887,-13.851006188323634
18,415786.0968833244,9133426.770096306,2026-03-06,0.3289923177583748,-9.49424265159035,-14.292404551072408
18,415786.0968833244,9133426.770096306,2026-03-18,0.45472763265145444,-11.49530855332016,-14.511574555467803
