lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
1_Bekasi,clu4,32748,107.14631,-6.218148,2024-03-17,3,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.33842,-6.152705,2024-03-16,2,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.146308,-6.217696,2024-03-17,3,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.338418,-6.152253,2024-03-16,2,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.146306,-6.217244,2024-03-17,5,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.338416,-6.151801,2024-03-16,2,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.146304,-6.216792,2024-03-17,5,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339323,-6.152701,2024-03-16,2,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339775,-6.152699,2024-03-16,2,"Drone (combined survey, Java-clean)"
6_Ciranggon1,clu4,32748,107.362077,-6.293153,2024-03-18,2,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339773,-6.152247,2024-03-16,2,"Drone (combined survey, Java-clean)"
6_Ciranggon1,clu4,32748,107.362074,-6.292701,2024-03-18,2,"Drone (combined survey, Java-clean)"
3_Rengasdengklok02,clu4,32748,107.339771,-6.151795,2024-03-16,2,"Drone (combined survey, Java-clean)"
6_Ciranggon1,clu4,32748,107.362072,-6.292249,2024-03-18,2,"Drone (combined survey, Java-clean)"
7_Ciranggon2,clu4,32748,107.36207,-6.291797,2024-03-18,4,"Drone (combined survey, Java-clean)"
7_Ciranggon2,clu4,32748,107.362068,-6.291345,2024-03-18,4,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.339305,-6.148634,2024-03-16,2,"Drone (combined survey, Java-clean)"
19_DongkalSukasari,clu1,32749,108.270617,-6.383537,2024-03-19,2,"Drone (combined survey, Java-clean)"
2_Rengasdengklok01,clu4,32748,107.339303,-6.148182,2024-03-16,2,"Drone (combined survey, Java-clean)"
19_DongkalSukasari,clu1,32749,108.270615,-6.383085,2024-03-19,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633411,-6.364601,2024-03-20,6,"Drone (combined survey, Java-clean)"
19_DongkalSukasari,clu1,32749,108.270612,-6.382634,2024-03-19,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633409,-6.364149,2024-03-20,6,"Drone (combined survey, Java-clean)"
19_DongkalSukasari,clu1,32749,108.270609,-6.382182,2024-03-19,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633407,-6.363697,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633404,-6.363246,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633418,-6.365957,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633416,-6.365505,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.633413,-6.365053,2024-03-20,6,"Drone (combined survey, Java-clean)"
17_Sukamandi2,clu4,32748,107.607648,-6.360665,2024-03-20,2,"Drone (combined survey, Java-clean)"
14_Jatimulya,clu4,32748,107.833099,-6.379356,2024-03-20,2,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.143596,-6.217255,2024-03-17,4,"Drone (combined survey, Java-clean)"
