lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
Janggawur,Pekalongan,32749,109.674183,-7.387634,6/27/2024,6,Drone (rice field)
Janggawur,Pekalongan,32749,109.674224,-7.387633,6/27/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052806,-6.994267,6/28/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052789,-6.994246,6/28/2024,6,Drone (rice field)
Janggawur,Pekalongan,32749,109.674496,-7.388129,6/27/2024,6,Drone (rice field)
Janggawur,Pekalongan,32749,109.674478,-7.388142,6/27/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052514,-6.99542,6/28/2024,4,Drone (rice field)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.093348,-6.97073,6/28/2024,5,Drone (rice field)
Bendungan,Pekalongan,32749,109.948218,-7.781931,6/24/2024,2,Field Survey
04_Jepara04_Krasak,Semarang_Demak,32749,110.70736,-6.714731,6/24/2024,3,Drone (50x50)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053425,-6.995026,6/28/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.054,-6.994459,6/28/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053449,-6.993934,6/28/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.054315,-6.994368,6/28/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.054132,-6.993813,6/28/2024,4,Drone (rice field)
04_Jepara04_Krasak,Semarang_Demak,32749,110.706455,-6.715635,6/24/2024,3,Drone (50x50)
10_batang05_klidangwetan,Pekalongan,32749,109.754949,-6.901578,6/26/2024,2,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.40648,-6.897704,6/27/2024,3,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.407271,-6.89605,6/27/2024,4,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053017,-6.995992,6/28/2024,5,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.05378,-6.995991,6/28/2024,5,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052745,-6.995244,6/28/2024,4,Drone (rice field)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.09482,-6.9705,6/28/2024,5,Drone (rice field)
Bangunjiwo,Semarang_Demak,32749,110.315664,-7.846274,6/24/2024,1,Drone (50x50)
Bendungan,Pekalongan,32749,109.948594,-7.782177,6/24/2024,2,Drone (50x50)
Selomerto 1,Pekalongan,32749,109.880693,-7.409392,6/27/2024,1,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.429784,-6.896251,6/27/2024,4,Drone (rice field)
04_Jepara04_Krasak.tif,Semarang_Demak,32749,110.707417,-6.715703,6/24/2024,2,Field Survey
14_pemalang04_taman,Brebes_Tegal,32749,109.406486,-6.897548,6/27/2024,3,Drone (rice field)
Janggawur,Pekalongan,32749,109.674328,-7.388592,6/27/2024,6,Drone (rice field)
Janggawur,Pekalongan,32749,109.674391,-7.388596,6/27/2024,6,Drone (rice field)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.094072,-6.971439,6/28/2024,5,Drone (rice field)
Tanjungrejo,Pekalongan,32749,109.927741,-7.742438,6/24/2024,2,Field Survey
04_Jepara04_Krasak,Semarang_Demak,32749,110.706853,-6.715736,6/24/2024,3,Drone (50x50)
Sleman 1,Pekalongan,32749,110.247064,-7.792354,6/25/2024,6,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.429472,-6.896186,6/27/2024,4,Drone (rice field)
Janggawur,Pekalongan,32749,109.67427,-7.388821,6/27/2024,6,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.406005,-6.895742,6/27/2024,3,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053434,-6.994899,6/28/2024,4,Drone (rice field)
Bendungan,Pekalongan,32749,109.949816,-7.781634,6/24/2024,2,Drone (50x50)
Bendungan,Pekalongan,32749,109.949837,-7.781579,6/24/2024,2,Drone (50x50)
01_Jepara01_Rau,Semarang_Demak,32749,110.662241,-6.65398,6/24/2024,2,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.880998,-7.409496,6/27/2024,4,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.880999,-7.409044,6/27/2024,5,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.881013,-7.409037,6/27/2024,5,Drone (rice field)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.094584,-6.970516,6/28/2024,5,Drone (rice field)
01_Jepara01_Rau,Semarang_Demak,32749,110.662809,-6.653339,6/24/2024,2,Drone (50x50)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.095252,-6.971194,6/28/2024,5,Drone (rice field)
Tanjungrejo,Pekalongan,32749,109.926871,-7.741599,6/24/2024,2,Drone (50x50)
Tanjungrejo,Pekalongan,32749,109.927509,-7.742354,6/24/2024,2,Drone (50x50)
04_Jepara04_Krasak,Semarang_Demak,32749,110.70746,-6.715464,6/24/2024,2,Drone (50x50)
01_Jepara01_Rau,Semarang_Demak,32749,110.664528,-6.653491,6/24/2024,2,Drone (rice field)
02_Jepara02_Surodadi,Semarang_Demak,32749,110.654769,-6.679072,6/24/2024,3,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052559,-6.995906,6/28/2024,5,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.429782,-6.896087,6/27/2024,4,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.429756,-6.895922,6/27/2024,3,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053929,-6.993916,6/28/2024,4,Drone (rice field)
Bangunjiwo,Semarang_Demak,32749,110.315392,-7.846107,6/24/2024,1,Drone (50x50)
Tanjungrejo,Pekalongan,32749,109.927954,-7.742229,6/24/2024,2,Drone (50x50)
Sleman 1,Pekalongan,32749,110.247275,-7.792111,6/25/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053331,-6.993875,6/28/2024,5,Drone (rice field)
07_batang02_sambong02,Pekalongan,32749,109.744635,-6.909552,6/26/2024,6,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.052422,-6.995979,6/28/2024,5,Drone (rice field)
Bangunjiwo,Semarang_Demak,32749,110.316081,-7.845595,6/24/2024,6,Drone (50x50)
Bendungan,Pekalongan,32749,109.949897,-7.781458,6/24/2024,2,Drone (50x50)
Bendungan,Pekalongan,32749,109.949923,-7.781394,6/24/2024,2,Drone (50x50)
Bendungan,Pekalongan,32749,109.94867,-7.782384,6/24/2024,2,Field Survey
Bendungan,Pekalongan,32749,109.948466,-7.781191,6/24/2024,2,Drone (50x50)
04_Jepara04_Krasak,Semarang_Demak,32749,110.706422,-6.714526,6/24/2024,2,Drone (rice field)
Janggawur,Pekalongan,32749,109.674179,-7.387836,6/27/2024,6,Drone (rice field)
Bendungan,Pekalongan,32749,109.948673,-7.781028,6/24/2024,2,Field Survey
Bendungan,Pekalongan,32749,109.948258,-7.782048,6/24/2024,2,Drone (50x50)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.766595,-6.763773,6/24/2024,6,Drone (50x50)
04_Jepara04_Krasak,Semarang_Demak,32749,110.707603,-6.714438,6/24/2024,3,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.406703,-6.895965,6/27/2024,4,Drone (rice field)
03_Jepara03_SowanLor,Semarang_Demak,32749,110.676812,-6.687266,6/24/2024,3,Field Survey
Janggawur,Pekalongan,32749,109.674485,-7.38882,6/27/2024,6,Drone (rice field)
13_pemalang03_beji,Brebes_Tegal,32749,109.430194,-6.895929,6/27/2024,3,Drone (rice field)
16_tegal02_pagarbarang,Brebes_Tegal,32749,109.053223,-6.995001,6/28/2024,4,Drone (rice field)
14_pemalang04_taman,Brebes_Tegal,32749,109.406251,-6.897149,6/27/2024,3,Drone (rice field)
Janggawur,Pekalongan,32749,109.674717,-7.38822,6/27/2024,6,Drone (rice field)
15_tegal01_dukuhwaru,Brebes_Tegal,32749,109.09416,-6.969741,6/28/2024,5,Drone (rice field)
Tanjungrejo,Pekalongan,32749,109.926744,-7.74181,6/24/2024,2,Drone (50x50)
Janggawur,Pekalongan,32749,109.674792,-7.387745,6/27/2024,6,Drone (rice field)
Janggawur,Pekalongan,32749,109.674851,-7.387767,6/27/2024,6,Drone (rice field)
Sleman 1,Pekalongan,32749,110.24763,-7.79276,6/25/2024,6,Drone (rice field)
10_batang05_klidangwetan,Pekalongan,32749,109.755956,-6.900286,6/26/2024,2,Drone (rice field)
05_Jepara05_TunggulPandean,Semarang_Demak,32749,110.765379,-6.762528,6/24/2024,5,Drone (50x50)
04_Jepara04_Krasak,Semarang_Demak,32749,110.706848,-6.714646,6/24/2024,3,Drone (rice field)
Kedungsari,Pekalongan,32749,110.196148,-7.868691,6/25/2024,5,Drone (rice field)
Selomerto 1,Pekalongan,32749,109.880759,-7.409726,6/27/2024,4,Drone (rice field)
