bujur,lintang,tanggal,fase,sumber
109.413545,-7.426929,6/11/2024,2,Drone (rice field)
109.413276,-7.42685,6/11/2024,2,Drone (rice field)
109.374685,-7.503783,6/11/2024,1,Drone (rice field)
109.375574,-7.503994,6/11/2024,1,Drone (rice field)
109.44956,-7.595383,6/12/2024,2,Drone (rice field)
109.449563,-7.595366,6/12/2024,2,Drone (rice field)
109.374383,-7.504312,6/11/2024,1,Drone (rice field)
109.294711,-7.426818,6/11/2024,2,Drone (rice field)
109.413202,-7.426107,6/11/2024,2,Drone (rice field)
109.413361,-7.426667,6/11/2024,2,Drone (rice field)
109.295734,-7.425807,6/11/2024,2,Drone (rice field)
109.411658,-7.426606,6/11/2024,4,Drone (rice field)
109.41308,-7.426066,6/11/2024,2,Drone (rice field)
109.411487,-7.426503,6/11/2024,4,Drone (rice field)
109.411426,-7.426133,6/11/2024,4,Drone (rice field)
109.295284,-7.425973,6/11/2024,2,Drone (rice field)
109.413528,-7.426276,6/11/2024,2,Drone (rice field)
109.413487,-7.42627,6/11/2024,2,Drone (rice field)
109.413605,-7.426897,6/11/2024,6,Drone (rice field)
109.413588,-7.426882,6/11/2024,2,Drone (rice field)
109.295695,-7.425902,6/11/2024,2,Drone (rice field)
109.448347,-7.594628,6/12/2024,2,Drone (rice field)
109.375617,-7.504154,6/11/2024,1,Drone (rice field)
109.449109,-7.594929,6/12/2024,2,Drone (rice field)
109.352639,-7.434611,6/11/2024,1,Drone (rice field)
109.352888,-7.434809,6/11/2024,1,Drone (rice field)
109.413179,-7.426236,6/11/2024,2,Drone (rice field)
109.41311,-7.426201,6/11/2024,2,Drone (rice field)
109.411817,-7.426555,6/11/2024,4,Drone (rice field)
109.413811,-7.42621,6/11/2024,2,Drone (rice field)
109.41377,-7.426202,6/11/2024,2,Drone (rice field)
109.413741,-7.426193,6/11/2024,2,Drone (rice field)
109.413782,-7.426141,6/11/2024,2,Drone (rice field)
109.413751,-7.426137,6/11/2024,2,Drone (rice field)
109.413017,-7.426611,6/11/2024,2,Drone (rice field)
109.413661,-7.42696,6/11/2024,2,Drone (rice field)
109.413069,-7.426606,6/11/2024,2,Drone (rice field)
109.448526,-7.595255,6/12/2024,2,Drone (rice field)
109.413789,-7.426536,6/11/2024,2,Drone (rice field)
109.413745,-7.426551,6/11/2024,2,Drone (rice field)
109.448738,-7.595764,6/12/2024,2,Drone (rice field)
109.449044,-7.595973,6/12/2024,2,Drone (rice field)
109.413341,-7.426947,6/11/2024,2,Drone (rice field)
109.411421,-7.426478,6/11/2024,4,Drone (rice field)
109.449021,-7.595877,6/12/2024,2,Drone (rice field)
109.352599,-7.434816,6/11/2024,1,Drone (rice field)
109.44867,-7.595554,6/12/2024,2,Drone (rice field)
109.413087,-7.426404,6/11/2024,2,Drone (rice field)
109.294601,-7.425734,6/11/2024,2,Drone (rice field)
109.375138,-7.503785,6/11/2024,1,Drone (rice field)
109.37516,-7.50375,6/11/2024,1,Drone (rice field)
109.412937,-7.426797,6/11/2024,2,Drone (rice field)
109.449389,-7.595722,6/12/2024,2,Drone (rice field)
109.448442,-7.594596,6/12/2024,2,Drone (rice field)
109.412074,-7.426318,6/11/2024,4,Drone (rice field)
109.412909,-7.426559,6/11/2024,2,Drone (rice field)
109.412236,-7.426337,6/11/2024,4,Drone (rice field)
109.29472,-7.426957,6/11/2024,2,Drone (rice field)
109.413903,-7.426159,6/11/2024,2,Drone (rice field)
109.413863,-7.426153,6/11/2024,2,Drone (rice field)
