no,survei,bujur,lintang,tanggal,fase
138143,4,109.40648,-6.897704,2024-03-13,1
138144,4,109.40628,-6.897681,2024-03-13,1
138145,4,109.406905,-6.897592,2024-03-13,1
138146,4,109.407241,-6.897579,2024-03-13,1
138147,4,109.407129,-6.89757,2024-03-13,1
138148,4,109.406707,-6.897572,2024-03-13,1
138149,4,109.406486,-6.897548,2024-03-13,1
138150,4,109.40629,-6.897527,2024-03-13,1
138151,4,109.406058,-6.897478,2024-03-13,1
138152,4,109.405894,-6.897463,2024-03-13,1
138153,4,109.40714,-6.89744,2024-03-13,1
138154,4,109.40692,-6.897435,2024-03-13,1
138155,4,109.406768,-6.897419,2024-03-13,1
138156,4,109.406588,-6.8974,2024-03-13,1
138157,4,109.406023,-6.897359,2024-03-13,1
138158,4,109.406346,-6.897375,2024-03-13,1
138159,4,109.40693,-6.897274,2024-03-13,1
138160,4,109.406077,-6.897244,2024-03-13,1
138161,4,109.406778,-6.89726,2024-03-13,1
138162,4,109.40591,-6.89723,2024-03-13,1
138163,4,109.407265,-6.897402,2024-03-13,1
138164,4,109.406596,-6.897242,2024-03-13,1
138165,4,109.407198,-6.897239,2024-03-13,1
138166,4,109.406353,-6.897219,2024-03-13,1
138167,4,109.405902,-6.897144,2024-03-13,1
138168,4,109.405905,-6.89709,2024-03-13,1
138169,4,109.406072,-6.897124,2024-03-13,1
138170,4,109.406936,-6.897117,2024-03-13,1
138171,4,109.406774,-6.897102,2024-03-13,1
138172,4,109.405907,-6.89704,2024-03-13,1
138173,4,109.429556,-6.897051,2024-03-13,1
138174,4,109.429779,-6.897047,2024-03-13,1
138175,4,109.429973,-6.897045,2024-03-13,1
138176,4,109.406585,-6.897084,2024-03-13,1
138177,4,109.430168,-6.897004,2024-03-13,1
138178,4,109.407322,-6.897084,2024-03-13,1
138179,4,109.430305,-6.897006,2024-03-13,1
138180,4,109.407213,-6.89707,2024-03-13,1
138181,4,109.40591,-6.896993,2024-03-13,1
138182,4,109.406353,-6.89706,2024-03-13,1
138188,4,109.406077,-6.897006,2024-03-13,1
138189,4,109.405911,-6.896952,2024-03-13,1
138190,4,109.406946,-6.896961,2024-03-13,1
138191,4,109.406787,-6.896947,2024-03-13,1
138192,4,109.406116,-6.896903,2024-03-13,1
138193,4,109.406599,-6.896928,2024-03-13,1
138194,4,109.429551,-6.896917,2024-03-13,1
138195,4,109.405948,-6.896886,2024-03-13,1
138196,4,109.429775,-6.896916,2024-03-13,1
138197,4,109.429975,-6.896912,2024-03-13,1
138198,4,109.430166,-6.89691,2024-03-13,1
138199,4,109.430305,-6.896906,2024-03-13,1
138200,4,109.407336,-6.89691,2024-03-13,1
138201,4,109.406363,-6.896904,2024-03-13,1
138202,4,109.407227,-6.896898,2024-03-13,1
138208,4,109.406125,-6.896808,2024-03-13,1
138209,4,109.405955,-6.896789,2024-03-13,1
138210,4,109.406953,-6.896809,2024-03-13,1
138211,4,109.406789,-6.896792,2024-03-13,1
138212,4,109.4066,-6.896773,2024-03-13,1
138213,4,109.406159,-6.896721,2024-03-13,1
138214,4,109.429548,-6.896748,2024-03-13,1
138215,4,109.430229,-6.896745,2024-03-13,1
138216,4,109.429772,-6.896748,2024-03-13,1
138217,4,109.429984,-6.896746,2024-03-13,1
138218,4,109.406368,-6.896749,2024-03-13,1
138219,4,109.407349,-6.896746,2024-03-13,1
138220,4,109.405991,-6.896703,2024-03-13,1
138221,4,109.407241,-6.896727,2024-03-13,1
138222,4,109.406168,-6.896629,2024-03-13,1
